Run2_Linear,Run2_ToF
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
657,-1
658,0
658,0
658,50
658,106
658,126
658,95
658,104
658,101
658,98
658,105
658,102
658,104
658,103
658,102
658,104
658,106
658,105
658,104
658,100
658,109
658,108
657,100
657,105
657,105
657,102
657,103
657,101
657,102
657,102
657,102
657,102
657,102
657,106
657,105
657,102
657,107
657,105
657,102
657,101
657,100
657,103
657,102
657,103
657,106
657,105
656,103
657,104
656,106
656,102
656,102
656,103
656,102
657,103
657,104
657,103
657,104
657,105
657,104
657,105
657,105
657,104
657,102
656,103
656,102
656,104
656,107
655,105
656,104
656,104
656,103
656,104
656,103
657,107
657,105
657,103
657,104
657,103
657,104
657,103
657,102
657,104
657,104
657,105
657,104
656,102
656,103
656,104
656,105
656,104
656,101
656,105
656,104
656,102
656,104
656,104
656,103
656,105
656,103
656,104
656,103
656,105
655,106
655,104
655,105
655,105
655,106
655,107
655,104
655,104
655,106
655,105
655,104
655,103
655,103
655,104
655,102
655,103
655,103
654,103
650,103
642,105
641,104
642,103
642,105
643,103
643,101
643,105
643,103
643,104
643,103
643,102
643,103
643,104
643,104
644,98
644,102
644,104
643,104
643,104
643,105
644,101
643,102
643,104
643,102
643,103
643,105
643,106
643,103
643,102
643,104
643,102
643,105
644,103
643,102
644,104
643,104
643,102
644,103
643,102
643,100
644,102
644,101
643,100
643,101
644,102
643,102
643,103
643,102
643,103
643,105
643,102
643,101
643,100
643,102
643,101
643,104
643,101
643,101
643,103
643,101
643,103
643,102
643,101
643,102
643,102
643,102
643,102
643,102
643,100
643,102
643,102
643,104
643,102
643,103
643,104
643,103
643,104
643,105
643,103
643,101
643,103
643,102
643,102
643,103
643,103
643,103
643,101
643,99
643,100
643,102
643,101
643,100
643,101
643,101
643,103
643,103
643,99
643,101
643,100
643,100
643,102
643,104
643,106
643,105
643,100
643,102
643,104
643,101
643,102
643,101
643,100
643,105
643,106
643,102
643,102
643,108
643,103
643,107
643,103
643,102
643,101
643,102
643,101
643,103
643,103
643,102
643,101
643,103
643,102
643,101
643,103
643,102
643,101
643,100
643,100
643,104
643,101
643,101
643,101
643,103
643,103
643,100
643,99
643,99
643,102
643,101
643,99
643,99
643,102
643,101
643,100
643,100
643,101
643,105
643,102
643,100
643,103
643,101
643,102
643,102
